id,name,email,status,species,gender,origin_name,location_name,episode_count
262,Photography Raptor,photography.raptor@krom.id,Dead,Alien,unknown,unknown,Earth (Replacement Dimension),1
263,Pibbles Bodyguard,pibbles.bodyguard@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
264,Pichael Thompson,pichael.thompson@krom.id,Alive,Humanoid,Male,unknown,Interdimensional Cable,1
265,Pickle Rick,pickle.rick@krom.id,Alive,unknown,Male,Earth (C-137),Earth (Replacement Dimension),1
266,Piece of Toast,piece.toast@krom.id,Alive,unknown,Genderless,unknown,Interdimensional Cable,2
267,Plumber Rick,plumber.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
268,Poncho,poncho.poncho@krom.id,Dead,Human,Male,unknown,Anatomy Park,1
269,Presidentress of The Mega Gargantuans,presidentress.gargantuans@krom.id,Alive,Humanoid,Female,Mega Gargantuan Kingdom,Mega Gargantuan Kingdom,1
270,Prince Nebulon,prince.nebulon@krom.id,Dead,Alien,Male,unknown,Zigerion's Base,1
271,Principal Vagina,principal.vagina@krom.id,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137),3
272,Principal Vagina,principal.vagina@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),6
273,Purge Planet Ruler,purge.ruler@krom.id,Dead,Alien,Male,Purge Planet,Purge Planet,1
274,Quantum Rick,quantum.rick@krom.id,unknown,Human,Male,unknown,Rick's Memories,3
275,Randy Dicknose,randy.dicknose@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
276,Rat Boss,rat.boss@krom.id,Dead,Animal,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),1
277,Real Fake Doors Salesman,real.salesman@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
278,Regional Manager Rick,regional.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
279,Regular Legs,regular.legs@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
280,Reverse Giraffe,reverse.giraffe@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
281,Reverse Rick Outrage,reverse.outrage@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
282,Revolio Clockberg Jr.,revolio.jr.@krom.id,unknown,Alien,Male,Gear World,Gear World,3
283,Rick D. Sanchez III,rick.iii@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
284,Rick Guilt Rick,rick.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
285,Rick Prime,rick.prime@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,2
286,Rick D-99,rick.d-99@krom.id,Dead,Human,Male,Earth (D-99),Citadel of Ricks,1
287,Rick D716,rick.d716@krom.id,Dead,Human,Male,Earth (D716),Citadel of Ricks,1
288,Rick D716-B,rick.d716-b@krom.id,Alive,Human,Male,Earth (D716-B),Citadel of Ricks,1
289,Rick D716-C,rick.d716-c@krom.id,Alive,Human,Male,Earth (D716-C),Citadel of Ricks,1
290,Rick Sanchez,rick.sanchez@krom.id,Dead,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),1
291,Rick J-22,rick.j-22@krom.id,Alive,Human,Male,Earth (J-22),Citadel of Ricks,1
292,Rick K-22,rick.k-22@krom.id,Alive,Human,Male,Earth (K-22),Earth (Replacement Dimension),1
293,Rick Sanchez,rick.sanchez@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
294,Ricktiminus Sancheziminius,ricktiminus.sancheziminius@krom.id,Dead,Human,Male,unknown,Rick's Memories,3
295,Riq IV,riq.iv@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,3
296,Risotto Groupon,risotto.groupon@krom.id,Dead,Alien,Male,Resort Planet,Resort Planet,1
297,Risotto's Tentacled Henchman,risotto's.henchman@krom.id,Dead,Alien,Male,Resort Planet,Resort Planet,1
298,Robot Morty,robot.morty@krom.id,unknown,Robot,Male,unknown,Citadel of Ricks,1
299,Robot Rick,robot.rick@krom.id,unknown,Robot,Male,unknown,Citadel of Ricks,1
300,Roger,roger.roger@krom.id,Dead,Human,Male,Earth (C-137),Anatomy Park,1
301,Ron Benson,ron.benson@krom.id,Alive,Alien,Male,Unity's Planet,Unity's Planet,1
302,Ruben,ruben.ruben@krom.id,Dead,Human,Male,Earth (C-137),Earth (C-137),1
303,Samantha,samantha.samantha@krom.id,Alive,Human,Female,Earth (C-137),Earth (C-137),1
304,Scary Brandon,scary.brandon@krom.id,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,1
305,Scary Glenn,scary.glenn@krom.id,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,1
306,Scary Terry,scary.terry@krom.id,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,1
307,Scroopy Noopers,scroopy.noopers@krom.id,Alive,Alien,Male,Pluto,Pluto,1
308,Scropon,scropon.scropon@krom.id,unknown,Alien,Male,unknown,Planet Squanch,2
309,Scrotian,scrotian.scrotian@krom.id,Alive,Animal,Male,unknown,Signus 5 Expanse,4
310,Self-Congratulatory Jerry,self-congratulatory.jerry@krom.id,unknown,Mythological Creature,Male,Nuptia 4,Nuptia 4,1
311,Shimshamian,shimshamian.shimshamian@krom.id,Alive,Alien,Male,unknown,Planet Squanch,3
312,Shlaammi,shlaammi.shlaammi@krom.id,Alive,Alien,unknown,unknown,Interdimensional Cable,1
313,Shleemypants,shleemypants.shleemypants@krom.id,Alive,unknown,Male,unknown,Snake Planet,2
314,Shmlamantha Shmlicelli,shmlamantha.shmlicelli@krom.id,Alive,Human,Female,unknown,Interdimensional Cable,1
315,Shmlangela Shmlobinson-Shmlower,shmlangela.shmlobinson-shmlower@krom.id,Alive,Human,Female,unknown,Interdimensional Cable,1
316,Shmlona Shmlobinson,shmlona.shmlobinson@krom.id,Alive,Human,Female,unknown,Interdimensional Cable,1
317,Shmlonathan Shmlower,shmlonathan.shmlower@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
318,Shmlony Shmlicelli,shmlony.shmlicelli@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
319,Shmooglite Runner,shmooglite.runner@krom.id,unknown,Alien,Male,Resort Planet,Resort Planet,1
320,Shnoopy Bloopers,shnoopy.bloopers@krom.id,unknown,Alien,Male,unknown,Immortality Field Resort,1
321,Shrimply Pibbles,shrimply.pibbles@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
322,Simple Rick,simple.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
323,Slaveowner,slaveowner.slaveowner@krom.id,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
324,Sleepy Gary,sleepy.gary@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
325,Slick Morty,slick.morty@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
326,Slippery Stair,slippery.stair@krom.id,Alive,Mythological Creature,Male,Fantasy World,Earth (Replacement Dimension),2
327,Slow Mobius,slow.mobius@krom.id,Alive,Humanoid,Male,unknown,Earth (Replacement Dimension),1
328,Slow Rick,slow.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
329,Snuffles (Snowball),snuffles.(snowball)@krom.id,Alive,Animal,Male,Earth (C-137),unknown,8
330,Solicitor Rick,solicitor.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,2
331,Squanchy,squanchy.squanchy@krom.id,unknown,Alien,Male,Planet Squanch,Planet Squanch,3
332,Stacy,stacy.stacy@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
333,Stair Goblin,stair.goblin@krom.id,Alive,Mythological Creature,Genderless,unknown,Fantasy World,3
334,Stealy,stealy.stealy@krom.id,Alive,Poopybutthole,Male,unknown,Interdimensional Cable,1
335,Steve,steve.steve@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
336,Steven Phillips,steven.phillips@krom.id,Alive,Alien,Male,Unity's Planet,Unity's Planet,1
337,Stu,stu.stu@krom.id,Dead,Alien,Male,unknown,Zigerion's Base,1
338,Summer Smith,summer.smith@krom.id,Alive,Human,Female,Earth (C-137),Earth (C-137),7
339,Summer Smith,summer.smith@krom.id,Alive,Human,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),1
340,Supernova,supernova.supernova@krom.id,Alive,Human,Female,unknown,Worldender's lair,1
341,Taddy Mason,taddy.mason@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
342,Taint Washer,taint.washer@krom.id,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
343,Tammy Guetermann,tammy.guetermann@krom.id,Alive,Cronenberg,Female,Earth (C-137),Earth (C-137),2
344,Tammy Guetermann,tammy.guetermann@krom.id,Dead,Human,Female,Earth (Replacement Dimension),NX-5 Planet Remover,5
345,Teacher Rick,teacher.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
346,Terry,terry.terry@krom.id,unknown,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
347,President Curtis,president.curtis@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),5
348,The President of the Miniverse,the.miniverse@krom.id,Dead,Humanoid,Male,Zeep Xanflorp's Miniverse,Zeep Xanflorp's Miniverse,1
349,The Scientist Formerly Known as Rick,the.rick@krom.id,Dead,Human,Male,unknown,unknown,1
350,Thomas Lipkip,thomas.lipkip@krom.id,unknown,Human,Male,Earth (Replacement Dimension),Froopyland,1
351,Three Unknown Things,three.things@krom.id,Alive,Alien,unknown,unknown,Interdimensional Cable,1
352,Tinkles,tinkles.tinkles@krom.id,Dead,Alien,Female,unknown,Earth (Replacement Dimension),1
353,Tiny Rick,tiny.rick@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
354,Toby Matthews,toby.matthews@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
355,Todd Crystal,todd.crystal@krom.id,Alive,Alien,Male,Unity's Planet,Unity's Planet,1
356,Tom Randolph,tom.randolph@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),1
357,Tommy's Clone,tommy's.clone@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
358,Tophat Jones,tophat.jones@krom.id,Dead,Mythological Creature,Male,unknown,Interdimensional Cable,3
359,Tortured Morty,tortured.morty@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
360,Toxic Morty,toxic.morty@krom.id,Dead,Humanoid,Male,Detoxifier,Earth (Replacement Dimension),1
361,Toxic Rick,toxic.rick@krom.id,Dead,Humanoid,Male,Detoxifier,Earth (Replacement Dimension),1
362,Traflorkian,traflorkian.traflorkian@krom.id,Alive,Alien,unknown,unknown,Worldender's lair,5
363,Trandor,trandor.trandor@krom.id,Alive,Alien,Male,Krootabulon,Earth (Replacement Dimension),1
364,Tree Person,tree.person@krom.id,Dead,Humanoid,unknown,Kyle's Teenyverse,Kyle's Teenyverse,1
365,Tricia Lange,tricia.lange@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),5
366,Trunk Morty,trunk.morty@krom.id,Alive,Humanoid,Male,Trunk World,Citadel of Ricks,1
367,Trunk Man,trunk.man@krom.id,Alive,Humanoid,Male,Trunk World,Interdimensional Cable,2
368,Truth Tortoise,truth.tortoise@krom.id,unknown,Mythological Creature,Male,unknown,unknown,1
369,Tusked Assassin,tusked.assassin@krom.id,unknown,Alien,Male,Resort Planet,Resort Planet,1
370,Two Guys with Handlebar Mustaches,two.mustaches@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
371,Tumblorkian,tumblorkian.tumblorkian@krom.id,Alive,Alien,Male,Plopstar,Plopstar,1
372,Unity,unity.unity@krom.id,Alive,Alien,Genderless,unknown,Unity's Planet,1
373,Unmuscular Michael,unmuscular.michael@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
374,Vampire Master,vampire.master@krom.id,Alive,Mythological Creature,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
375,Vance Maximus,vance.maximus@krom.id,Dead,Human,Male,unknown,Worldender's lair,1
376,Veronica Ann Bennet,veronica.bennet@krom.id,Alive,Alien,Female,Gazorpazorp,Gazorpazorp,1
377,Voltematron,voltematron.voltematron@krom.id,Dead,Alien,unknown,unknown,Earth (Replacement Dimension),1
378,Wall Crawling Rick,wall.rick@krom.id,unknown,Humanoid,Male,unknown,Citadel of Ricks,1
379,Wedding Bartender,wedding.bartender@krom.id,unknown,Alien,Male,unknown,Planet Squanch,1
380,Unknown Rick,unknown.rick@krom.id,unknown,Human,Male,unknown,unknown,2
381,Woman Rick,woman.rick@krom.id,Alive,Alien,Female,unknown,unknown,1
382,Worldender,worldender.worldender@krom.id,Dead,Alien,Male,unknown,Worldender's lair,1
383,Yaarb,yaarb.yaarb@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
384,Yellow Headed Doctor,yellow.doctor@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
385,Yellow Shirt Rick,yellow.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
386,Zarbadar Gloonch,zarbadar.gloonch@krom.id,Dead,Alien,Female,unknown,Nuptia 4,2
387,Zarbadar's Mytholog,zarbadar's.mytholog@krom.id,unknown,Mythological Creature,Female,Nuptia 4,Nuptia 4,1
388,Zeep Xanflorp,zeep.xanflorp@krom.id,Alive,Humanoid,Male,Rick's Battery Microverse,Rick's Battery Microverse,1
389,Zeta Alpha Rick,zeta.rick@krom.id,Dead,Human,Male,unknown,Rick's Memories,4
390,Zick Zack,zick.zack@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
391,Uncle Steve,uncle.steve@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
392,Bearded Morty,bearded.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,2
393,Roy,roy.roy@krom.id,Alive,Human,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,1
394,Davin,davin.davin@krom.id,Dead,Cronenberg,Male,Earth (C-137),Earth (C-137),2
395,Greebybobe,greebybobe.greebybobe@krom.id,Alive,Alien,unknown,Girvonesk,Worldender's lair,4
396,Scary Teacher,scary.teacher@krom.id,Alive,Mythological Creature,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,1
397,Fido,fido.fido@krom.id,Alive,Animal,Male,Snuffles' Dream,Snuffles' Dream,1
398,Accountant dog,accountant.dog@krom.id,Alive,Animal,Male,Snuffles' Dream,Snuffles' Dream,1
399,Tiny-persons advocacy group lawyer,tiny-persons.lawyer@krom.id,Alive,Mythological Creature,Male,Giant's Town,Giant's Town,1
400,Giant Judge,giant.judge@krom.id,Alive,Mythological Creature,Male,Giant's Town,Giant's Town,1
401,Morty Jr's interviewer,morty.interviewer@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
402,Guy from The Bachelor,guy.bachelor@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
403,Corn detective,corn.detective@krom.id,Dead,Humanoid,Male,Interdimensional Cable,Interdimensional Cable,1
404,Michael Jackson,michael.jackson@krom.id,Alive,Humanoid,Male,Earth (Phone Dimension),Earth (Phone Dimension),1
405,Trunkphobic suspenders guy,trunkphobic.guy@krom.id,Alive,Human,Male,unknown,Earth (Replacement Dimension),4
406,Spiderweb teddy bear,spiderweb.bear@krom.id,Alive,Animal,unknown,Interdimensional Cable,Interdimensional Cable,1
407,Regular Tyrion Lannister,regular.lannister@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
408,Quick Mystery Presenter,quick.presenter@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
409,Mr. Sneezy,mr..sneezy@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
410,Two Brothers,two.brothers@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
411,Alien Mexican Armada,alien.armada@krom.id,unknown,Alien,Male,Interdimensional Cable,Interdimensional Cable,1
412,Giant Cat Monster,giant.monster@krom.id,unknown,Animal,unknown,Interdimensional Cable,Interdimensional Cable,1
413,Old Women,old.women@krom.id,unknown,Human,Female,Interdimensional Cable,Interdimensional Cable,1
414,Trunkphobic guy,trunkphobic.guy@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
415,Pro trunk people marriage guy,pro.guy@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
416,Muscular Mannie,muscular.mannie@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
417,Baby Legs Chief,baby.chief@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
418,Mrs. Sullivan's Boyfriend,mrs..boyfriend@krom.id,Alive,Human,Male,Interdimensional Cable,Interdimensional Cable,1
419,Plutonian Hostess,plutonian.hostess@krom.id,Alive,Alien,Female,Pluto,Pluto,1
420,Plutonian Host,plutonian.host@krom.id,Alive,Alien,Male,Pluto,Pluto,1
421,Rich Plutonian,rich.plutonian@krom.id,Alive,Alien,Female,Pluto,Pluto,1
422,Rich Plutonian,rich.plutonian@krom.id,Alive,Alien,Male,Pluto,Pluto,1
423,Synthetic Laser Eels,synthetic.eels@krom.id,Alive,Animal,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),1
424,Pizza-person,pizza-person.pizza-person@krom.id,Alive,Humanoid,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),1
425,Pizza-person,pizza-person.pizza-person@krom.id,Alive,Humanoid,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),1
426,Greasy Grandma,greasy.grandma@krom.id,Alive,Human,Female,Greasy Grandma World,Greasy Grandma World,1
427,Phone-person,phone-person.phone-person@krom.id,Alive,Humanoid,Male,Earth (Phone Dimension),Earth (Phone Dimension),1
428,Phone-person,phone-person.phone-person@krom.id,Alive,Humanoid,Male,Earth (Phone Dimension),Earth (Phone Dimension),1
429,Chair-person,chair-person.chair-person@krom.id,Alive,Humanoid,Male,Earth (Chair Dimension),Earth (Chair Dimension),1
430,Chair-person,chair-person.chair-person@krom.id,Alive,Humanoid,Male,Earth (Chair Dimension),Earth (Chair Dimension),1
431,Chair-homeless,chair-homeless.chair-homeless@krom.id,Alive,Humanoid,Male,Earth (Chair Dimension),Earth (Chair Dimension),1
432,Chair-waiter,chair-waiter.chair-waiter@krom.id,Alive,Humanoid,Male,Earth (Chair Dimension),Earth (Chair Dimension),1
433,Doopidoo,doopidoo.doopidoo@krom.id,Alive,Animal,unknown,unknown,unknown,1
434,Super Weird Rick,super.rick@krom.id,unknown,Human,Male,unknown,unknown,1
435,Pripudlian,pripudlian.pripudlian@krom.id,Alive,Alien,unknown,unknown,Earth (Replacement Dimension),4
436,Giant Testicle Monster,giant.monster@krom.id,Alive,Alien,unknown,Testicle Monster Dimension,Testicle Monster Dimension,2
437,Michael,michael.michael@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
438,Michael's Lawyer,michael's.lawyer@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
439,Veterinary,veterinary.veterinary@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
440,Veterinary Nurse,veterinary.nurse@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
441,Bearded Jerry,bearded.jerry@krom.id,Alive,Human,Male,unknown,Jerryboree,1
442,Shaved Head Jerry,shaved.jerry@krom.id,Alive,Human,Male,unknown,Jerryboree,1
443,Tank Top Jerry,tank.jerry@krom.id,Alive,Human,Male,unknown,Jerryboree,1
444,Pink Polo Shirt Jerry,pink.jerry@krom.id,Alive,Human,Male,unknown,Jerryboree,1
445,Jerryboree Keeper,jerryboree.keeper@krom.id,Alive,Alien,Female,unknown,Jerryboree,1
446,Jerryboree Receptionist,jerryboree.receptionist@krom.id,Alive,Alien,Male,unknown,Jerryboree,1
447,Anchor Gear,anchor.gear@krom.id,Alive,Alien,Male,Gear World,Gear World,1
448,Gear Cop,gear.cop@krom.id,Dead,Alien,Male,Gear World,Gear World,1
449,Roy's Mum,roy's.mum@krom.id,Alive,Human,Female,Roy: A Life Well Lived,Roy: A Life Well Lived,1
450,Roy's Wife,roy's.wife@krom.id,Alive,Human,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,1
451,Roy's Son,roy's.son@krom.id,Alive,Human,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,1
452,Simon,simon.simon@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
453,Vampire Master's Assistant,vampire.assistant@krom.id,Alive,Mythological Creature,Male,unknown,Earth (Replacement Dimension),1
454,Arbolian Mentirososian,arbolian.mentirososian@krom.id,Alive,Alien,unknown,Árboles Mentirosos,St. Gloopy Noops Hospital,3
455,St. Gloopy Noops Nurse,st..nurse@krom.id,Alive,Alien,Female,unknown,St. Gloopy Noops Hospital,1
456,Nano Doctor,nano.doctor@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
457,Funny Songs Presenter,funny.presenter@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
458,Tax Attorney,tax.attorney@krom.id,unknown,Human,Male,unknown,Interdimensional Cable,1
459,Butthole Ice Cream Guy,butthole.guy@krom.id,Alive,Alien,Male,unknown,Interdimensional Cable,1
460,Traflorkian Journalist,traflorkian.journalist@krom.id,Alive,Alien,Male,unknown,St. Gloopy Noops Hospital,1
461,Communication's Responsible Rick,communication's.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
462,Teleportation's Responsible Rick,teleportation's.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
463,SEAL Team Rick,seal.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
464,SEAL Team Rick,seal.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
465,SEAL Team Rick,seal.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
466,SEAL Team Rick,seal.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
467,Morphizer-XE Customer Support,morphizer-xe.support@krom.id,Alive,Alien,Male,unknown,Earth (Replacement Dimension),1
468,Morphizer-XE Customer Support,morphizer-xe.support@krom.id,Alive,Alien,Male,unknown,Earth (Replacement Dimension),1
469,Morphizer-XE Customer Support,morphizer-xe.support@krom.id,unknown,Alien,Male,unknown,Earth (Replacement Dimension),1
470,Alien Spa Employee,alien.employee@krom.id,Alive,Alien,Male,unknown,Alien Day Spa,1
471,Little Voltron,little.voltron@krom.id,Alive,Robot,Genderless,unknown,Earth (Replacement Dimension),1
472,Baby Rick,baby.rick@krom.id,Alive,Human,Male,Citadel of Ricks,Citadel of Ricks,1
473,Bartender Morty,bartender.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
474,Dancer Cowboy Morty,dancer.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
475,Dancer Morty,dancer.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
476,Flower Morty,flower.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
477,Hairdresser Rick,hairdresser.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
478,Journalist Rick,journalist.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
479,Private Sector Rick,private.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
480,Purple Morty,purple.morty@krom.id,Alive,Alien,Male,unknown,Citadel of Ricks,1
481,Retired General Rick,retired.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
482,Secret Service Rick,secret.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
483,Steve Jobs Rick,steve.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
484,Sheik Rick,sheik.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
485,Modern Rick,modern.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
486,Tan Rick,tan.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
487,Visor Rick,visor.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
488,Colonial Rick,colonial.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
489,P-Coat Rick,p-coat.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
490,Chang,chang.chang@krom.id,Alive,Human,Male,unknown,The Menagerie,1
491,Dr. Eleanor Arroway,dr..arroway@krom.id,Alive,Human,Female,unknown,The Menagerie,1
492,Varrix,varrix.varrix@krom.id,Alive,Alien,unknown,unknown,Earth (Replacement Dimension),1
493,Secretary of the Interior,secretary.interior@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
494,Crystal Poacher,crystal.poacher@krom.id,Dead,Alien,Male,unknown,Forbodulon Prime,1
495,Crystal Poacher,crystal.poacher@krom.id,Dead,Alien,Male,unknown,Forbodulon Prime,1
496,Crystal Poacher,crystal.poacher@krom.id,Dead,Alien,Male,unknown,Forbodulon Prime,1
497,Hologram Rick,hologram.rick@krom.id,Dead,Humanoid,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
498,Fascist Rick,fascist.rick@krom.id,Dead,Human,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),1
499,Fascist Morty,fascist.morty@krom.id,Dead,Human,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),1
500,Fascist Mr. President,fascist.president@krom.id,Alive,Human,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),1
501,Fascist Rick’s Clone,fascist.clone@krom.id,Dead,Human,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),1
502,Revolio Clockberg Jr.,revolio.jr.@krom.id,Dead,Alien,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),1
503,Fascist Shrimp Rick,fascist.rick@krom.id,Alive,Animal,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),1
504,Fascist Shrimp Rick’s Clone,fascist.clone@krom.id,Dead,Animal,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),1
505,Fascist Shrimp Morty,fascist.morty@krom.id,Alive,Animal,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),1
506,Fascist Shrimp SS,fascist.ss@krom.id,Alive,Animal,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),1
507,Fascist Teddy Bear Rick,fascist.rick@krom.id,Alive,Animal,Male,Earth (Fascist Teddy Bear Dimension),Earth (Fascist Teddy Bear Dimension),1
508,Fascist Teddy Bear Rick’s Clone,fascist.clone@krom.id,Dead,Animal,Male,Earth (Fascist Teddy Bear Dimension),Earth (Fascist Teddy Bear Dimension),1
509,Bully,bully.bully@krom.id,unknown,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
510,Anchorman,anchorman.anchorman@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
511,Anchorwoman,anchorwoman.anchorwoman@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
512,Morty’s Lawyer,morty’s.lawyer@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
513,Judge,judge.judge@krom.id,Dead,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
514,Public Opinion Judge,public.judge@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
